keys,en,pt_BR,es,zh_CN,ja
GAD_MainTitleGDS,"AdMob Plugin (GDScript)","Plugin AdMob (GDScript)","Plugin AdMob (GDScript)","AdMob 插件 (GDScript)","AdMob プラグイン (GDScript)"
GAD_MainTitleCS,"AdMob Plugin (C#)","Plugin AdMob (C#)","Plugin AdMob (C#)","AdMob 插件 (C#)","AdMob プラグイン (C#)"
GAD_SupportProject,"S U P P O R T   T H E   P R O J E C T","A P O I E   O   P R O J E T O","A P O Y A   E L   P R O Y E C T O","支   持   本   项   目","プ  ロ  ジ  ェ  ク  ト  を  支  援  す  る"
GAD_BannerAd,"Banner","Banner","Banner","横幅","バナー"
GAD_NativeAd,"Native","Nativo","Nativo","原生","ネイティブ"
GAD_AppOpenAd,"App Open","App Open","App Open","开屏","アプリ起動時"
GAD_InterstitialAd,"Interstitial","Intersticial","Intersticial","插屏","インタースティシャル"
GAD_RewardedAd,"Rewarded","Premiado","Recompensado","激励","リワード"
GAD_RewardedInterstitialAd,"Rewarded Interstitial","Intersticial Premiado","Intersticial Recompensado","激励插屏","リワードインタースティシャル"
GAD_UserMessagingPlatform,"UMP","UMP","UMP","UMP","UMP"
GAD_MobileAds,"Mobile Ads","Anúncios Móveis","Anuncios Móviles","移动广告","モバイル広告"
GAD_Load,"Load","Carregar","Cargar","加载","ロード"
GAD_LoadBackground,"Load Background","Carregar Segundo Plano","Cargar en Segundo Plano","后台加载","バックグラウンドでロード"
GAD_Show,"Show","Mostrar","Mostrar","显示","表示"
GAD_Hide,"Hide","Esconder","Ocultar","隐藏","非表示"
GAD_GetSize,"Get Size","Obter Tamanho","Obtener Tamaño","获取尺寸","サイズを取得"
GAD_Destroy,"Destroy","Destruir","Destruir","销毁","破棄"
GAD_Update,"Update","Atualizar","Actualizar","更新","更新"
GAD_LogsStart,"--- LOGS START ---","--- INÍCIO DOS LOGS ---","--- INICIO DE REGISTROS ---","--- 日志开始 ---","--- ログ開始 ---"
GAD_Collapsible,"Collapsible","Recolhível","Contraíble","可折叠","折りたたみ可能"
GAD_Video,"Video","Vídeo","Video","视频","動画"
GAD_VideoBracket," (video)"," (vídeo)"," (video)"," (视频)"," (動画)"
GAD_CustomPosition,"CUSTOM POSITION (XY)","POSIÇÃO CUSTOMIZADA (XY)","POSICIÓN PERSONALIZADA (XY)","自定义位置 (XY)","カスタム位置 (XY)"
GAD_AdSize,"AD SIZE","TAMANHO DO ANÚNCIO","TAMAÑO DEL ANUNCIO","广告尺寸","広告サイズ"
GAD_PresetPositions,"PRESET POSITIONS","POSIÇÕES PRÉ-DEFINIDAS","POSICIONES PREESTABLECIDAS","预设位置","プリセット位置"
GAD_GetInitializationStatus,"Get Initialization Status","Obter Status de Inicialização","Obtener Estado de Inicialización","获取初始化状态","初期化ステータスを取得"
GAD_SetiOSAppPauseOnBackground,"Set iOS App Pause On Background","Pausar App iOS em Segundo Plano","Pausar App iOS en Segundo Plano","设置 iOS 应用在后台暂停","iOS アプリのバックグラウンド一時停止を設定"
GAD_MuteMusic,"Mute Music","Silenciar Música","Silenciar Música","静音音乐","音楽をミュート"
GAD_AdVolume,"Ad Volume","Volume do Anúncio","Volumen del Anuncio","广告音量","広告の音量"
GAD_MuteAds,"Mute Ads","Silenciar Anúncios","Silenciar Anuncios","静音广告","広告をミュート"
GAD_OpenAdInspector,"Open Ad Inspector","Abrir Inspetor de Anúncios","Abrir Inspector de Anuncios","打开广告检查器","広告インスペクターを開く"
GAD_GetConsentStatus,"Get Consent Status","Obter Status de Consentimento","Obtener Estado de Consentimiento","获取同意状态","同意ステータスを取得"
GAD_ResetConsentInformation,"Reset Consent Information","Redefinir Informações de Consentimento","Restablecer Información de Consentimiento","重置同意信息","同意情報をリセット"
GAD_ShowPrivacyOptionsForm,"Show Privacy Options Form","Mostrar Formulário de Opções de Privacidade","Mostrar Formulario de Opciones de Privacidad","显示隐私选项表单","プライバシーオプションフォームを表示"
GAD_BannerControls,"BANNER CONTROLS","CONTROLES DE BANNER","CONTROLES DE BANNER","横幅广告控制","バナーコントロール"
GAD_InterstitialControls,"INTERSTITIAL CONTROLS","CONTROLES DE INTERSTITIAL","CONTROLES DE INTERSTICIAL","插屏广告控制","インタースティシャルコントロール"
GAD_RewardedControls,"REWARDED CONTROLS","CONTROLES DE REWARDED","CONTROLES DE RECOMPENSADO","激励广告控制","リワードコントロール"
GAD_RewardedInterstitialControls,"REWARDED INTERSTITIAL CONTROLS","CONTROLES DE REWARDED INTERSTITIAL","CONTROLES DE INTERSTICIAL RECOMPENSADO","激励插屏广告控制","リワードインタースティシャルコントロール"
GAD_NativeControls,"NATIVE CONTROLS","CONTROLES DE NATIVE","CONTROLES DE NATIVO","原生广告控制","ネイティブコントロール"
GAD_AppOpenControls,"APP OPEN CONTROLS","CONTROLES DE APP OPEN","CONTROLES DE APP OPEN","开屏广告控制","アプリ起動時コントロール"
GAD_AnchoredAdaptive,"Anchored Adaptive","Adaptativo Ancorado","Adaptativo Anclado","锚定自适应","アンカー付きアダプティブ"
GAD_SmartBanner,"SMART BANNER","BANNER INTELIGENTE","BANNER INTELIGENTE","智能横幅","スマートバナー"
GAD_Custom,"CUSTOM","CUSTOMIZADO","PERSONALIZADO","自定义","カスタム"
GAD_MainInitialized,"Main initialized","Main inicializado","Main inicializado","Main 已初始化","Main が初期化されました"
GAD_MobileAdsInitComplete,"MobileAds initialization complete","Inicialização do MobileAds concluída","Inicialización de MobileAds completada","MobileAds 初始化完成","MobileAds の初期化が完了しました"
GAD_TopLeft,"Top Left","Superior Esquerda","Superior Izquierda","左上角","左上"
GAD_Top,"Top","Superior","Superior","顶部","上"
GAD_TopRight,"Top Right","Superior Direita","Superior Derecha","右上角","右上"
GAD_Left,"Left","Esquerda","Izquierda","左侧","左"
GAD_Center,"Center","Centro","Centro","居中","中央"
GAD_Right,"Right","Direita","Derecha","右侧","右"
GAD_BottomLeft,"Bottom Left","Inferior Esquerda","Inferior Izquierda","左下角","左下"
GAD_Bottom,"Bottom","Inferior","Inferior","底部","下"
GAD_BottomRight,"Bottom Right","Inferior Direita","Inferior Derecha","右下角","右下"
GAD_NativeOverlayControls,"NATIVE OVERLAY CONTROLS","CONTROLES DE SOBREPOSIÇÃO NATIVA","CONTROLES DE SUPERPOSICIÓN NATIVA","原生覆盖控制","ネイティブオーバーレイコントロール"
GAD_TemplateStyle,"TEMPLATE STYLE","ESTILO DO MODELO","ESTILO DE PLANTILLA","模板样式","テンプレートスタイル"
GAD_Template,"Template:","Modelo:","Plantilla:","模板：","テンプレート:"
GAD_ColorCustomization,"COLOR CUSTOMIZATION","CUSTOMIZAÇÃO DE CORES","PERSONALIZACIÓN DE COLORES","颜色自定义","色のカスタマイズ"
GAD_Background,"Background:","Fundo:","Fondo:","背景：","背景:"
GAD_ButtonBG,"Button BG:","BG do Botão:","Fondo del Botón:","按钮背景：","ボタンの背景:"
GAD_ButtonText,"Button Text:","Texto do Botão:","Texto del Botón:","按钮文本：","ボタンのテキスト:"
GAD_Small,"Small","Pequeno","Pequeño","小","小"
GAD_Medium,"Medium","Médio","Medio","中","中"
GAD_DefaultNone,"Default (None)","Padrão (Nenhum)","Por defecto (Ninguno)","默认（无）","デフォルト (なし)"
GAD_SizeBanner,"BANNER (320x50)","BANNER (320x50)","BANNER (320x50)","BANNER (320x50)","BANNER (320x50)"
GAD_SizeFullBanner,"FULL_BANNER (468x60)","BANNER COMPLETO (468x60)","BANNER COMPLETO (468x60)","FULL_BANNER (468x60)","FULL_BANNER (468x60)"
GAD_SizeLargeBanner,"LARGE_BANNER (320x100)","BANNER GRANDE (320x100)","BANNER GRANDE (320x100)","LARGE_BANNER (320x100)","LARGE_BANNER (320x100)"
GAD_SizeLeaderboard,"LEADERBOARD (728x90)","TABELA DE CLASSIFICAÇÃO (728x90)","TABLA DE CLASIFICACIÓN (728x90)","LEADERBOARD (728x90)","LEADERBOARD (728x90)"
GAD_SizeMediumRectangle,"MEDIUM_RECTANGLE (300x250)","RETÂNGULO MÉDIO (300x250)","RECTÁNGULO MEDIO (300x250)","MEDIUM_RECTANGLE (300x250)","MEDIUM_RECTANGLE (300x250)"
GAD_SizeWideSkyscraper,"WIDE_SKYSCRAPER (160x600)","ARRANHA-CÉU LARGO (160x600)","RASCACIELOS ANCHO (160x600)","WIDE_SKYSCRAPER (160x600)","WIDE_SKYSCRAPER (160x600)"
GAD_InBackground," in background"," em segundo plano"," en segundo plano"," 在后台"," バックグラウンド"
GAD_CollapsibleBracket," (collapsible)"," (recolhível)"," (contraíble)"," (可折叠)"," (折りたたみ可能)"
GAD_None,"None","Nenhum","Ninguno","无","なし"
GAD_LogSuccessCollapsible,"Success: Collapsible banner loaded.","Sucesso: Banner recolhível carregado.","Éxito: Banner contraíble cargado.","成功：已加载可折叠横幅。","成功: 折りたたみ可能バナーがロードされました。"
GAD_LogAdLoadedNotCollapsible,"Ad loaded successfully. Collapsible: false","Anúncio carregado com sucesso. Recolhível: falso","Anuncio cargado con éxito. Contraíble: falso","广告加载成功。可折叠：false","広告が正常にロードされました。折りたたみ可能: false"
GAD_LogAdClicked,"Ad clicked","Anúncio clicado","Anuncio clicado","广告被点击","広告がクリックされました"
GAD_LogAdClosed,"Ad closed (destroyed)","Anúncio fechado (destruído)","Anuncio cerrado (destruido)","广告已关闭（销毁）","広告が閉じられました（破棄）"
GAD_LogAdClosedCallback,"Ad closed callback triggered","Callback de fechado do anúncio acionado","Callback de cierre del anuncio activado","触发了广告关闭回调","広告を閉じるコールバックがトリガーされました"
